Date,time_of_day,MachineName,ustanov,bez_ustanova,rabotal
2022-03-05,Ночь,V26/60_1,4942.0,12930.0,25328.0
2022-03-05,Ночь,V26/60_2,5470.0,8183.0,29547.0
2022-03-05,Ночь,V26/85,2571.0,14457.0,26172.0
2022-03-05,Ночь,VCENTR-102,1856.0,22112.0,19232.0
2022-03-05,Ночь,VCENTR-70,0.0,43200.0,0.0
2022-03-05,Ночь,VTM9,2638.0,13443.0,27119.0
2022-03-06,День,CK50,7245.0,17439.0,18516.0
2022-03-06,День,V20,0.0,43200.0,0.0
2022-03-06,День,V26/60_1,6723.0,5593.0,30884.0
2022-03-06,День,V26/60_2,3967.0,16637.0,22596.0
2022-03-06,День,V26/85,3405.0,3604.0,36191.0
2022-03-06,День,VCENTR-102,5120.0,14701.0,23379.0
2022-03-06,День,VCENTR-70,6649.0,28210.0,8341.0
2022-03-06,День,VTM9,4993.0,13151.0,25056.0
2022-03-06,Ночь,CK50,5965.0,25694.0,11541.0
2022-03-06,Ночь,V20,0.0,43200.0,0.0
2022-03-06,Ночь,V26/60_1,6016.0,6006.0,31178.0
2022-03-06,Ночь,V26/60_2,7020.0,8956.0,27224.0
2022-03-06,Ночь,V26/85,2342.0,12545.0,28313.0
2022-03-06,Ночь,VCENTR-102,3875.0,13194.0,26131.0
2022-03-06,Ночь,VCENTR-70,0.0,43200.0,0.0
2022-03-06,Ночь,VTM9,5684.0,12756.0,24760.0
2022-03-07,День,CK50,3654.0,13448.0,26098.0
2022-03-07,День,V20,0.0,43200.0,0.0
2022-03-07,День,V26/60_1,6289.0,7569.0,29342.0
2022-03-07,День,V26/60_2,4378.0,12764.0,26058.0
2022-03-07,День,V26/85,2993.0,10685.0,29522.0
2022-03-07,День,VCENTR-102,2442.0,29435.0,11323.0
2022-03-07,День,VCENTR-70,0.0,43196.0,4.0
2022-03-07,День,VTM9,5611.0,5720.0,31869.0
2022-03-07,Ночь,CK50,4686.0,22821.0,15693.0
2022-03-07,Ночь,V20,0.0,43200.0,0.0
2022-03-07,Ночь,V26/60_1,5475.0,8563.0,29162.0
2022-03-07,Ночь,V26/60_2,6219.0,4024.0,32957.0
2022-03-07,Ночь,V26/85,2490.0,18439.0,22271.0
2022-03-07,Ночь,VCENTR-102,1943.0,30171.0,11086.0
2022-03-07,Ночь,VCENTR-70,0.0,43200.0,0.0
2022-03-07,Ночь,VTM9,3663.0,17856.0,21681.0
2022-03-08,День,CK50,0.0,43200.0,0.0
2022-03-08,День,V20,0.0,43200.0,0.0
2022-03-08,День,V26/60_1,0.0,43200.0,0.0
2022-03-08,День,V26/60_2,0.0,43200.0,0.0
2022-03-08,День,V26/85,0.0,43200.0,0.0
2022-03-08,День,VCENTR-102,0.0,43200.0,0.0
2022-03-08,День,VCENTR-70,0.0,43200.0,0.0
2022-03-08,День,VTM9,0.0,43200.0,0.0
2022-03-08,Ночь,CK50,0.0,43200.0,0.0
2022-03-08,Ночь,V20,0.0,43200.0,0.0
2022-03-08,Ночь,V26/60_1,0.0,43200.0,0.0
2022-03-08,Ночь,V26/60_2,0.0,43200.0,0.0
2022-03-08,Ночь,V26/85,0.0,43200.0,0.0
2022-03-08,Ночь,VCENTR-102,0.0,43200.0,0.0
2022-03-08,Ночь,VCENTR-70,0.0,43200.0,0.0
2022-03-08,Ночь,VTM9,0.0,43200.0,0.0
